Area, Way, Progress, Device, Barkod
Santoni, HG.BakuRailWay , UTAl , Arodra , RB647
SeaArea, SH.BakuShips , UTAl , Barda, HD133234
WarZone, VL.ZenigmaRailWay, UTAl, Arodra, FG944
Mariana, HG.PakistanAirlanes, PRESKAL, Barda, RT657
Caucasus Montains , HG.BakuRoadWay, PRESKAL , Arodra, RB647
Lebanon','HG.ChineAirWay, ZEUS ,Arodra, VV88766
Ganga, HG.PakistanRailWay, ZEUS , Barda, RZ957
Santoni, HG.BakuRailWay, UTAl, Arodra, TQ9653
Santoni, HG.BakuRailWay, UTAl, Arodra, VW4723
Santoni, HG.BakuRailWay, UTAl, Arodra, LE9438
Santoni, HG.BakuRailWay, UTAl, Arodra, TY9564
Santoni, HG.BakuRailWay, UTAl, Arodra, NB2933